OCCURRED_ON_DATE,0_2,0_3,0_4,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_12,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_6,6_7,6_8,6_9,7_9,8_7
2017-07-22,1.0,1.0,,,3.0,,1.0,,9.0,1.0,,2.0,12.0,1.0,,5.0,4.0,3.0,5.0,3.0,4.0,,6.0,7.0,10.0,16.0,15.0,11.0,,,,13.0,21.0,19.0,34.0,37.0,7.0,,1.0,2.0,1.0,9.0,2.0,9.0,,,,,1.0,2.0,,
2017-07-23,1.0,3.0,,,,,,,2.0,,,1.0,3.0,,5.0,3.0,4.0,2.0,3.0,1.0,,,,5.0,11.0,16.0,16.0,6.0,,,,8.0,16.0,17.0,10.0,23.0,6.0,3.0,,4.0,,8.0,,2.0,2.0,,,,2.0,,,
2017-07-24,3.0,2.0,,1.0,1.0,,,1.0,4.0,1.0,,,7.0,,,4.0,4.0,5.0,2.0,2.0,2.0,,3.0,12.0,6.0,14.0,15.0,7.0,,,,5.0,21.0,19.0,21.0,21.0,6.0,,,1.0,2.0,5.0,,4.0,,,,,,1.0,1.0,
2017-07-25,1.0,2.0,,1.0,1.0,,2.0,1.0,7.0,,,,8.0,,,5.0,3.0,2.0,3.0,4.0,,,,5.0,22.0,14.0,16.0,11.0,,,,7.0,24.0,20.0,20.0,25.0,6.0,1.0,,,,5.0,4.0,4.0,,,,,1.0,,,
2017-07-26,1.0,2.0,,1.0,2.0,,3.0,,7.0,1.0,,3.0,8.0,,,6.0,5.0,4.0,9.0,2.0,,,7.0,13.0,7.0,12.0,20.0,7.0,,1.0,,3.0,17.0,12.0,29.0,30.0,7.0,,2.0,2.0,,2.0,7.0,7.0,,,,,,,,
2017-07-27,1.0,4.0,1.0,1.0,2.0,,,,2.0,2.0,,2.0,10.0,,1.0,6.0,7.0,3.0,6.0,4.0,3.0,,1.0,17.0,8.0,24.0,21.0,10.0,,,,6.0,19.0,12.0,24.0,25.0,17.0,,2.0,4.0,5.0,9.0,2.0,1.0,1.0,,,,,3.0,,
2017-07-28,1.0,3.0,,,3.0,,3.0,,3.0,,,1.0,17.0,,1.0,5.0,9.0,4.0,6.0,4.0,1.0,,4.0,14.0,5.0,6.0,10.0,10.0,,,,7.0,14.0,16.0,14.0,28.0,2.0,,,1.0,1.0,6.0,3.0,9.0,1.0,,1.0,,1.0,2.0,,
2017-07-29,,,,,7.0,,3.0,1.0,2.0,1.0,,2.0,9.0,,1.0,8.0,3.0,4.0,5.0,5.0,2.0,,4.0,11.0,11.0,14.0,25.0,11.0,,,,7.0,31.0,19.0,16.0,31.0,13.0,1.0,2.0,1.0,,3.0,3.0,2.0,,,1.0,,,1.0,1.0,
2017-07-30,,1.0,,1.0,,,4.0,2.0,2.0,,,1.0,3.0,,3.0,2.0,5.0,1.0,2.0,2.0,1.0,,1.0,8.0,6.0,19.0,16.0,9.0,,,,2.0,29.0,11.0,14.0,24.0,5.0,2.0,,3.0,2.0,8.0,2.0,3.0,,,1.0,,,2.0,,
2017-07-31,,2.0,1.0,1.0,1.0,,4.0,2.0,7.0,1.0,,7.0,15.0,,2.0,7.0,4.0,2.0,,9.0,3.0,,1.0,18.0,11.0,25.0,19.0,6.0,,,,9.0,13.0,21.0,12.0,36.0,7.0,,1.0,7.0,2.0,7.0,2.0,6.0,,,1.0,,2.0,,,
2017-08-01,1.0,1.0,,,1.0,,3.0,2.0,9.0,1.0,,7.0,20.0,,1.0,5.0,1.0,9.0,4.0,3.0,1.0,,2.0,13.0,9.0,16.0,26.0,12.0,,,,14.0,27.0,17.0,26.0,23.0,3.0,1.0,1.0,1.0,5.0,8.0,3.0,4.0,,,1.0,,,2.0,,
2017-08-02,,1.0,,2.0,2.0,,2.0,4.0,2.0,1.0,,1.0,9.0,,,5.0,2.0,2.0,5.0,5.0,1.0,,5.0,9.0,13.0,16.0,14.0,12.0,,,,8.0,17.0,18.0,18.0,35.0,10.0,1.0,1.0,2.0,1.0,2.0,3.0,7.0,2.0,,7.0,,1.0,2.0,1.0,
2017-08-03,,1.0,4.0,,1.0,,,1.0,2.0,,,2.0,9.0,,1.0,5.0,4.0,6.0,4.0,5.0,1.0,,6.0,14.0,7.0,16.0,24.0,15.0,,,,8.0,20.0,13.0,25.0,30.0,6.0,1.0,4.0,1.0,1.0,5.0,4.0,6.0,,,1.0,,1.0,,,
2017-08-04,1.0,3.0,,,1.0,,4.0,1.0,1.0,2.0,,1.0,8.0,,1.0,4.0,3.0,4.0,3.0,7.0,3.0,,4.0,19.0,7.0,24.0,17.0,16.0,,1.0,,10.0,29.0,17.0,19.0,35.0,11.0,1.0,1.0,1.0,2.0,6.0,7.0,7.0,2.0,,,,3.0,1.0,,
2017-08-05,,,,,1.0,,2.0,1.0,5.0,,,2.0,9.0,,4.0,4.0,1.0,3.0,1.0,4.0,2.0,,3.0,13.0,8.0,15.0,4.0,6.0,,,,4.0,23.0,12.0,10.0,23.0,15.0,,,1.0,,9.0,6.0,10.0,,,,,,2.0,1.0,
2017-08-06,,2.0,,,1.0,,,1.0,1.0,2.0,,1.0,2.0,,2.0,1.0,4.0,4.0,2.0,3.0,,,2.0,15.0,14.0,13.0,11.0,11.0,,,,8.0,21.0,14.0,21.0,15.0,1.0,1.0,1.0,,1.0,8.0,4.0,10.0,,,,,,3.0,,
2017-08-07,,2.0,2.0,,5.0,,1.0,1.0,6.0,,,4.0,12.0,,1.0,7.0,5.0,,3.0,,2.0,,9.0,19.0,9.0,19.0,16.0,8.0,,,,8.0,21.0,18.0,18.0,21.0,2.0,1.0,,,1.0,8.0,2.0,13.0,1.0,,,,,2.0,,
2017-08-08,,2.0,,1.0,1.0,,,2.0,4.0,1.0,,2.0,4.0,1.0,,10.0,7.0,3.0,5.0,4.0,,,2.0,11.0,5.0,12.0,17.0,3.0,,,,9.0,11.0,13.0,20.0,34.0,7.0,,1.0,,1.0,15.0,,7.0,,,,,1.0,5.0,1.0,
2017-08-09,3.0,2.0,1.0,,2.0,,3.0,5.0,5.0,,,,12.0,,,6.0,3.0,6.0,10.0,1.0,1.0,,5.0,13.0,10.0,14.0,20.0,8.0,,,,9.0,21.0,17.0,15.0,40.0,5.0,1.0,1.0,,3.0,4.0,1.0,10.0,,,,,5.0,3.0,,
2017-08-10,1.0,2.0,1.0,,5.0,,2.0,,4.0,,,1.0,10.0,,1.0,2.0,3.0,4.0,4.0,3.0,1.0,,1.0,13.0,6.0,18.0,17.0,8.0,,,,6.0,19.0,27.0,29.0,27.0,9.0,,,,,3.0,3.0,8.0,,,1.0,,1.0,1.0,,
2017-08-11,1.0,,,,4.0,,4.0,3.0,3.0,1.0,,,5.0,,,7.0,3.0,3.0,6.0,3.0,,,3.0,6.0,13.0,6.0,12.0,6.0,,,,10.0,25.0,20.0,20.0,23.0,2.0,,2.0,1.0,4.0,4.0,10.0,6.0,,,,,4.0,3.0,,
2017-08-12,1.0,,1.0,,,,2.0,2.0,3.0,2.0,,,9.0,,,2.0,3.0,2.0,4.0,2.0,,,5.0,6.0,12.0,12.0,15.0,4.0,,,,10.0,18.0,33.0,12.0,46.0,7.0,,,4.0,1.0,5.0,5.0,13.0,,,1.0,,4.0,1.0,,
2017-08-13,1.0,,,,3.0,,,1.0,7.0,,,2.0,10.0,,4.0,7.0,4.0,,3.0,3.0,1.0,,2.0,8.0,10.0,17.0,14.0,3.0,,,,9.0,17.0,22.0,5.0,13.0,16.0,,2.0,,1.0,5.0,2.0,7.0,,,,,,2.0,,
2017-08-14,,2.0,,,3.0,,2.0,1.0,4.0,,,1.0,4.0,,2.0,5.0,3.0,1.0,6.0,5.0,2.0,,5.0,11.0,9.0,20.0,13.0,13.0,,,,9.0,16.0,26.0,18.0,28.0,5.0,1.0,2.0,,2.0,10.0,2.0,13.0,,,3.0,,,1.0,,
2017-08-15,1.0,,,,2.0,,1.0,,1.0,,,2.0,7.0,,2.0,5.0,8.0,6.0,5.0,4.0,1.0,,3.0,10.0,12.0,14.0,18.0,7.0,,,,12.0,11.0,14.0,22.0,23.0,10.0,,,2.0,1.0,8.0,4.0,9.0,,,,,3.0,2.0,,
2017-08-16,,3.0,,3.0,4.0,,1.0,1.0,3.0,2.0,,1.0,10.0,,2.0,4.0,7.0,5.0,6.0,5.0,3.0,,1.0,25.0,7.0,20.0,19.0,10.0,,,,10.0,19.0,15.0,25.0,23.0,4.0,1.0,,1.0,2.0,9.0,5.0,5.0,2.0,,,,,2.0,,
2017-08-17,,1.0,,,6.0,,1.0,2.0,1.0,1.0,1.0,2.0,10.0,,,3.0,5.0,4.0,5.0,1.0,2.0,,,14.0,5.0,18.0,7.0,8.0,,,,11.0,27.0,17.0,25.0,24.0,5.0,1.0,1.0,1.0,,3.0,6.0,9.0,,,,,,,,
2017-08-18,,4.0,1.0,1.0,1.0,,,1.0,,1.0,,,8.0,,,7.0,2.0,4.0,6.0,,,,2.0,20.0,9.0,19.0,11.0,9.0,,,,4.0,24.0,12.0,21.0,22.0,10.0,,1.0,,1.0,10.0,8.0,10.0,1.0,,,,1.0,3.0,1.0,
2017-08-19,,,,,2.0,,,1.0,3.0,,,2.0,4.0,,1.0,8.0,5.0,6.0,2.0,2.0,1.0,,3.0,10.0,11.0,15.0,12.0,14.0,,,,7.0,20.0,15.0,9.0,37.0,6.0,,,,1.0,10.0,,11.0,2.0,,1.0,,4.0,2.0,,
2017-08-20,,,,1.0,2.0,,,1.0,2.0,1.0,,1.0,5.0,,1.0,1.0,4.0,1.0,3.0,,,,3.0,6.0,4.0,22.0,11.0,10.0,,,,13.0,28.0,19.0,11.0,21.0,12.0,,,,2.0,14.0,6.0,16.0,2.0,,,,2.0,,,
2017-08-21,,,,,5.0,,2.0,2.0,1.0,,,1.0,3.0,,,4.0,7.0,4.0,5.0,4.0,2.0,,3.0,17.0,14.0,14.0,16.0,12.0,,,,13.0,24.0,20.0,16.0,17.0,5.0,,1.0,1.0,1.0,2.0,3.0,10.0,,,2.0,,,1.0,,
2017-08-22,,3.0,1.0,,,,1.0,1.0,,2.0,,,7.0,,3.0,3.0,4.0,6.0,6.0,10.0,2.0,,1.0,14.0,12.0,17.0,24.0,6.0,,,,5.0,24.0,19.0,16.0,23.0,12.0,1.0,2.0,,1.0,5.0,1.0,8.0,,,,,1.0,,1.0,
2017-08-23,1.0,,2.0,,2.0,,1.0,1.0,1.0,,,3.0,10.0,,,1.0,6.0,3.0,5.0,1.0,3.0,,,20.0,5.0,19.0,23.0,4.0,,,,5.0,26.0,18.0,36.0,26.0,10.0,,1.0,1.0,1.0,6.0,1.0,7.0,,,,,2.0,2.0,,
2017-08-24,1.0,1.0,,1.0,4.0,,,1.0,2.0,1.0,,1.0,11.0,,,4.0,5.0,,5.0,2.0,2.0,,3.0,10.0,15.0,15.0,25.0,5.0,,2.0,,11.0,20.0,11.0,19.0,34.0,9.0,1.0,,,4.0,8.0,2.0,4.0,1.0,,,,,1.0,1.0,
2017-08-25,1.0,1.0,,1.0,1.0,,1.0,1.0,9.0,1.0,,2.0,7.0,,1.0,8.0,4.0,3.0,5.0,8.0,1.0,,2.0,8.0,12.0,17.0,10.0,13.0,,,,8.0,19.0,19.0,10.0,17.0,6.0,2.0,,1.0,1.0,4.0,4.0,8.0,1.0,,1.0,,,3.0,,
2017-08-26,,1.0,1.0,,3.0,,,3.0,2.0,,,5.0,5.0,,,11.0,2.0,5.0,2.0,3.0,,,1.0,15.0,20.0,9.0,16.0,8.0,,,,9.0,17.0,17.0,14.0,25.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,2.0,3.0,,
2017-08-27,1.0,,1.0,1.0,,,,,,,,1.0,7.0,,1.0,6.0,5.0,1.0,3.0,8.0,1.0,,4.0,14.0,16.0,15.0,18.0,13.0,,,,8.0,23.0,20.0,12.0,18.0,9.0,,2.0,,1.0,2.0,,7.0,1.0,,1.0,,1.0,3.0,,
2017-08-28,,1.0,,,3.0,,2.0,,1.0,2.0,,1.0,11.0,,1.0,3.0,1.0,1.0,3.0,3.0,3.0,,2.0,8.0,9.0,19.0,22.0,14.0,,,,9.0,20.0,20.0,13.0,22.0,3.0,,,3.0,1.0,5.0,7.0,6.0,1.0,,,,2.0,1.0,,
2017-08-29,,3.0,,,3.0,,2.0,1.0,1.0,,,2.0,9.0,,1.0,4.0,,4.0,3.0,2.0,3.0,,1.0,17.0,5.0,14.0,18.0,13.0,,,,5.0,14.0,17.0,18.0,25.0,7.0,1.0,3.0,1.0,1.0,8.0,4.0,4.0,,,1.0,,1.0,1.0,1.0,
2017-08-30,1.0,,,,4.0,,,1.0,4.0,1.0,,1.0,7.0,,,11.0,,,8.0,2.0,2.0,,6.0,9.0,3.0,11.0,15.0,10.0,,,,7.0,20.0,8.0,19.0,25.0,8.0,,1.0,3.0,1.0,2.0,4.0,6.0,1.0,,,,1.0,2.0,,
2017-08-31,2.0,1.0,,,2.0,,,3.0,2.0,,,4.0,11.0,,,7.0,4.0,4.0,5.0,4.0,2.0,,1.0,10.0,17.0,12.0,14.0,12.0,,,,8.0,12.0,25.0,36.0,29.0,12.0,,1.0,1.0,1.0,3.0,1.0,8.0,,,,,1.0,,1.0,
2017-09-01,2.0,2.0,,1.0,2.0,,1.0,4.0,3.0,,,7.0,17.0,,3.0,5.0,2.0,2.0,5.0,4.0,7.0,,,10.0,10.0,18.0,20.0,16.0,,,,13.0,23.0,22.0,27.0,37.0,15.0,,2.0,1.0,1.0,13.0,2.0,4.0,,,1.0,,1.0,2.0,1.0,
2017-09-02,,,,1.0,3.0,,5.0,2.0,4.0,,,5.0,7.0,,,4.0,6.0,1.0,3.0,4.0,,,,8.0,15.0,15.0,22.0,8.0,,,,3.0,14.0,19.0,10.0,30.0,3.0,,1.0,,6.0,2.0,1.0,6.0,3.0,,,,,2.0,1.0,
2017-09-03,1.0,1.0,,,10.0,,,1.0,6.0,,,,9.0,,1.0,2.0,7.0,3.0,1.0,1.0,1.0,,,10.0,6.0,16.0,12.0,9.0,,,,6.0,16.0,14.0,10.0,17.0,7.0,1.0,2.0,1.0,,5.0,1.0,8.0,,,,,,,,
2017-09-04,,,,1.0,1.0,,,1.0,4.0,,,1.0,7.0,,,3.0,5.0,4.0,1.0,4.0,3.0,,2.0,5.0,6.0,11.0,14.0,9.0,,,,11.0,11.0,18.0,8.0,15.0,1.0,,2.0,,4.0,4.0,2.0,7.0,,,1.0,,3.0,3.0,,
2017-09-05,,1.0,,,3.0,,1.0,4.0,2.0,1.0,,2.0,10.0,,2.0,4.0,5.0,2.0,11.0,4.0,1.0,,3.0,10.0,8.0,12.0,14.0,8.0,,,,12.0,23.0,14.0,23.0,24.0,9.0,,,1.0,,4.0,4.0,9.0,1.0,,,,,2.0,,
2017-09-06,,,,1.0,2.0,,2.0,,1.0,,,2.0,9.0,,,4.0,2.0,2.0,4.0,1.0,,,5.0,9.0,13.0,17.0,12.0,5.0,,,,4.0,29.0,23.0,15.0,23.0,5.0,,1.0,,1.0,6.0,1.0,4.0,1.0,,,,1.0,1.0,2.0,
2017-09-07,,3.0,3.0,2.0,3.0,,3.0,,1.0,,,2.0,12.0,,2.0,6.0,6.0,5.0,8.0,5.0,2.0,,4.0,12.0,7.0,19.0,24.0,9.0,,1.0,,5.0,12.0,13.0,36.0,28.0,9.0,,1.0,,,9.0,3.0,7.0,,,,,2.0,,,
2017-09-08,1.0,2.0,1.0,2.0,3.0,,2.0,3.0,1.0,,,1.0,16.0,,,11.0,6.0,1.0,3.0,6.0,1.0,,4.0,11.0,4.0,18.0,25.0,9.0,,,,11.0,27.0,16.0,26.0,27.0,7.0,1.0,,,,9.0,2.0,17.0,,,,,,2.0,1.0,
2017-09-09,1.0,2.0,,1.0,2.0,,2.0,,2.0,,,3.0,9.0,,1.0,5.0,3.0,6.0,4.0,4.0,2.0,,3.0,12.0,4.0,14.0,21.0,12.0,,,,8.0,18.0,6.0,22.0,24.0,6.0,1.0,2.0,,1.0,8.0,,1.0,,,1.0,,,3.0,1.0,
2017-09-10,1.0,,1.0,1.0,2.0,,2.0,,2.0,1.0,,3.0,5.0,,,2.0,3.0,4.0,4.0,1.0,3.0,,,6.0,12.0,18.0,15.0,5.0,,,,8.0,21.0,20.0,15.0,15.0,6.0,,2.0,,1.0,2.0,2.0,10.0,,,1.0,,,2.0,,
2017-09-11,4.0,,1.0,1.0,1.0,,3.0,,,,,1.0,6.0,,6.0,1.0,2.0,7.0,2.0,4.0,1.0,,6.0,11.0,8.0,19.0,20.0,10.0,,,,8.0,31.0,18.0,17.0,30.0,9.0,1.0,,1.0,,9.0,2.0,8.0,,,1.0,,1.0,,,
2017-09-12,,1.0,1.0,,2.0,,2.0,2.0,4.0,1.0,,2.0,13.0,,,8.0,1.0,6.0,6.0,,1.0,,4.0,4.0,11.0,14.0,9.0,7.0,,,,9.0,20.0,24.0,26.0,34.0,8.0,2.0,,1.0,,4.0,1.0,8.0,,,,,,,,
2017-09-13,,1.0,1.0,,2.0,,1.0,1.0,5.0,1.0,,3.0,10.0,,,8.0,2.0,2.0,4.0,3.0,1.0,,,12.0,9.0,18.0,22.0,6.0,,,,9.0,23.0,25.0,33.0,25.0,7.0,1.0,2.0,3.0,1.0,6.0,2.0,8.0,1.0,,,,,1.0,,
2017-09-14,,2.0,,,,,,1.0,4.0,,,3.0,12.0,,,5.0,3.0,1.0,3.0,,3.0,,3.0,20.0,7.0,16.0,21.0,7.0,,,,5.0,14.0,20.0,25.0,26.0,6.0,,,,1.0,6.0,,6.0,1.0,,,,1.0,1.0,,
2017-09-15,,2.0,,,2.0,,1.0,,4.0,,,2.0,18.0,,1.0,5.0,5.0,5.0,2.0,4.0,1.0,,1.0,13.0,7.0,15.0,32.0,13.0,,,,3.0,22.0,23.0,30.0,24.0,8.0,1.0,2.0,,,10.0,1.0,10.0,,,,,1.0,,,
2017-09-16,,3.0,1.0,2.0,4.0,,,1.0,1.0,,,2.0,20.0,,2.0,10.0,3.0,,2.0,6.0,1.0,,5.0,16.0,14.0,14.0,34.0,9.0,,,,15.0,30.0,11.0,12.0,24.0,7.0,,1.0,3.0,,6.0,2.0,8.0,,,,,,2.0,,
2017-09-17,,2.0,,3.0,1.0,,,2.0,1.0,,,,10.0,,2.0,1.0,4.0,1.0,5.0,2.0,2.0,,2.0,6.0,14.0,21.0,10.0,15.0,,,,11.0,19.0,15.0,19.0,40.0,8.0,,,,3.0,6.0,2.0,4.0,,,1.0,,,,1.0,
2017-09-18,2.0,,,,1.0,,2.0,1.0,1.0,,,1.0,8.0,,,2.0,4.0,1.0,3.0,2.0,2.0,,1.0,8.0,6.0,15.0,25.0,8.0,,,,6.0,14.0,20.0,16.0,32.0,7.0,,1.0,1.0,2.0,8.0,2.0,9.0,,,,,,2.0,,
2017-09-19,,3.0,,,4.0,,,2.0,5.0,1.0,,1.0,10.0,,,7.0,5.0,9.0,5.0,4.0,1.0,,2.0,15.0,9.0,9.0,15.0,7.0,,,,6.0,15.0,10.0,23.0,28.0,4.0,1.0,2.0,1.0,2.0,2.0,6.0,4.0,,,,,,,,
2017-09-20,,3.0,,1.0,7.0,,2.0,1.0,2.0,,,2.0,15.0,,,16.0,1.0,3.0,11.0,3.0,1.0,,4.0,16.0,12.0,7.0,9.0,4.0,,,,10.0,12.0,12.0,17.0,29.0,4.0,,,1.0,,8.0,1.0,4.0,,,1.0,,,3.0,,
2017-09-21,2.0,2.0,,1.0,4.0,,,5.0,2.0,1.0,,1.0,11.0,,,1.0,6.0,1.0,5.0,4.0,4.0,,2.0,14.0,18.0,17.0,36.0,8.0,,,,8.0,25.0,17.0,14.0,25.0,11.0,1.0,1.0,1.0,2.0,7.0,4.0,8.0,1.0,,,,2.0,2.0,,
2017-09-22,1.0,3.0,3.0,,3.0,,,1.0,5.0,1.0,,,11.0,,1.0,4.0,6.0,6.0,16.0,5.0,2.0,,4.0,7.0,6.0,25.0,22.0,12.0,,,,16.0,30.0,25.0,26.0,23.0,6.0,,1.0,3.0,1.0,12.0,2.0,9.0,1.0,,1.0,,,1.0,,
2017-09-23,,,2.0,,,,3.0,,7.0,,,3.0,12.0,,1.0,7.0,5.0,1.0,5.0,3.0,,,,7.0,10.0,24.0,9.0,4.0,,,,11.0,21.0,30.0,22.0,30.0,9.0,,3.0,1.0,,10.0,6.0,10.0,,,,,,1.0,,
2017-09-24,1.0,,,1.0,2.0,,,2.0,2.0,1.0,,,14.0,1.0,,4.0,13.0,2.0,3.0,1.0,2.0,,2.0,5.0,14.0,15.0,17.0,14.0,,,,12.0,17.0,18.0,20.0,31.0,6.0,,1.0,1.0,2.0,12.0,4.0,6.0,,,1.0,,,2.0,,
2017-09-25,2.0,3.0,,,3.0,,,,1.0,1.0,,1.0,6.0,,,7.0,5.0,5.0,2.0,2.0,2.0,,5.0,10.0,9.0,23.0,13.0,8.0,,,,7.0,23.0,22.0,21.0,22.0,9.0,,,,4.0,8.0,6.0,9.0,,,1.0,,2.0,2.0,,
2017-09-26,1.0,1.0,1.0,1.0,,,,1.0,7.0,2.0,,2.0,14.0,,,8.0,4.0,2.0,8.0,2.0,1.0,,4.0,12.0,16.0,24.0,16.0,12.0,,,,9.0,20.0,19.0,15.0,29.0,4.0,,,4.0,4.0,10.0,1.0,7.0,1.0,,,,,1.0,,
2017-09-27,,6.0,,1.0,5.0,,,2.0,,,,5.0,11.0,,1.0,3.0,5.0,5.0,6.0,5.0,2.0,,1.0,12.0,9.0,8.0,14.0,16.0,,,,9.0,9.0,11.0,21.0,29.0,6.0,4.0,,,2.0,3.0,1.0,9.0,1.0,,,,1.0,5.0,,
2017-09-28,2.0,6.0,,,1.0,,2.0,1.0,2.0,,,2.0,12.0,1.0,,2.0,4.0,2.0,3.0,1.0,4.0,,2.0,12.0,12.0,18.0,23.0,4.0,,,,7.0,18.0,22.0,26.0,19.0,12.0,,,2.0,3.0,11.0,1.0,6.0,1.0,,,,,1.0,1.0,
2017-09-29,,3.0,,1.0,5.0,,2.0,2.0,5.0,,,3.0,6.0,,4.0,1.0,8.0,5.0,6.0,4.0,,,4.0,8.0,4.0,13.0,17.0,10.0,,,,4.0,18.0,8.0,25.0,33.0,5.0,4.0,,3.0,1.0,7.0,2.0,5.0,1.0,,,,,,,
2017-09-30,,2.0,2.0,2.0,1.0,,,,,1.0,,1.0,8.0,,,3.0,2.0,,,3.0,,,3.0,13.0,12.0,15.0,23.0,14.0,,,,7.0,7.0,18.0,16.0,16.0,5.0,,,2.0,3.0,4.0,3.0,7.0,2.0,,,,1.0,2.0,4.0,
2017-10-01,2.0,4.0,,2.0,2.0,,,3.0,3.0,,,3.0,9.0,1.0,,4.0,6.0,3.0,2.0,3.0,3.0,,4.0,9.0,4.0,13.0,17.0,10.0,,,,8.0,21.0,20.0,36.0,30.0,6.0,,,2.0,1.0,11.0,5.0,10.0,,,1.0,,,2.0,1.0,
2017-10-02,,4.0,,2.0,2.0,,1.0,1.0,3.0,2.0,,2.0,7.0,,1.0,10.0,4.0,2.0,4.0,3.0,1.0,,6.0,7.0,4.0,13.0,15.0,10.0,,,,6.0,11.0,21.0,23.0,29.0,6.0,,,,1.0,4.0,2.0,8.0,2.0,,,,2.0,1.0,,
2017-10-03,2.0,4.0,,2.0,1.0,,1.0,,6.0,1.0,,,9.0,,,8.0,5.0,1.0,6.0,1.0,6.0,,2.0,5.0,6.0,13.0,11.0,8.0,,,,3.0,13.0,22.0,18.0,28.0,7.0,,,4.0,,4.0,2.0,5.0,1.0,,,,,3.0,,
2017-10-04,1.0,3.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,1.0,9.0,,,7.0,7.0,3.0,6.0,2.0,1.0,,3.0,13.0,10.0,15.0,19.0,7.0,,,,5.0,20.0,11.0,20.0,24.0,2.0,1.0,,1.0,3.0,8.0,4.0,12.0,1.0,,,,1.0,1.0,,
2017-10-05,,,1.0,1.0,,,,3.0,2.0,,,2.0,14.0,,4.0,5.0,6.0,3.0,9.0,1.0,5.0,,3.0,8.0,8.0,15.0,23.0,11.0,,,,10.0,32.0,14.0,15.0,23.0,17.0,1.0,3.0,3.0,,4.0,1.0,4.0,,,1.0,,1.0,,1.0,
2017-10-06,,2.0,2.0,1.0,2.0,,,2.0,7.0,,,5.0,8.0,,,10.0,5.0,5.0,7.0,2.0,1.0,,1.0,10.0,8.0,10.0,15.0,7.0,,,,7.0,20.0,15.0,36.0,25.0,9.0,,,1.0,,4.0,3.0,9.0,1.0,,,,,2.0,,
2017-10-07,2.0,,1.0,2.0,5.0,,,1.0,6.0,,,1.0,13.0,,,7.0,6.0,4.0,4.0,5.0,3.0,,2.0,5.0,7.0,21.0,14.0,11.0,,,,13.0,20.0,11.0,13.0,26.0,1.0,,,1.0,5.0,5.0,,6.0,2.0,,1.0,,1.0,1.0,,
2017-10-08,1.0,,1.0,,1.0,,1.0,2.0,4.0,,,3.0,8.0,,,5.0,5.0,3.0,,3.0,,,,7.0,3.0,16.0,8.0,15.0,,,,6.0,18.0,16.0,5.0,32.0,11.0,,1.0,,1.0,6.0,,12.0,4.0,,1.0,,1.0,1.0,,
2017-10-09,1.0,,,,,,3.0,1.0,2.0,3.0,,2.0,11.0,,,1.0,5.0,3.0,5.0,,1.0,,1.0,10.0,11.0,9.0,10.0,7.0,,,,6.0,18.0,16.0,5.0,14.0,11.0,1.0,,1.0,,7.0,,4.0,,,,,,1.0,1.0,
2017-10-10,2.0,4.0,1.0,2.0,,,2.0,2.0,2.0,,,,13.0,,1.0,4.0,1.0,2.0,4.0,1.0,1.0,,6.0,17.0,8.0,21.0,16.0,10.0,,,,12.0,26.0,21.0,16.0,24.0,5.0,,1.0,,5.0,10.0,4.0,9.0,1.0,,1.0,,1.0,4.0,,
2017-10-11,,1.0,,2.0,4.0,,3.0,1.0,4.0,,,1.0,8.0,,,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,11.0,5.0,13.0,19.0,8.0,,,,13.0,21.0,18.0,19.0,27.0,6.0,1.0,,2.0,1.0,5.0,1.0,4.0,,,,,1.0,1.0,,
2017-10-12,1.0,,,,2.0,,1.0,1.0,,1.0,,2.0,10.0,1.0,1.0,1.0,9.0,9.0,8.0,3.0,4.0,,1.0,10.0,9.0,13.0,17.0,7.0,,,,11.0,20.0,20.0,10.0,27.0,12.0,1.0,1.0,1.0,,7.0,3.0,6.0,1.0,,,,1.0,1.0,,
2017-10-13,,1.0,,1.0,4.0,,,1.0,1.0,,,1.0,8.0,,3.0,8.0,13.0,1.0,9.0,3.0,3.0,,3.0,9.0,10.0,15.0,17.0,9.0,,,,10.0,21.0,16.0,25.0,21.0,3.0,,,,1.0,4.0,,12.0,1.0,,,,,5.0,,
2017-10-14,,,,2.0,5.0,,1.0,1.0,4.0,,,1.0,8.0,,2.0,3.0,3.0,5.0,2.0,6.0,1.0,,3.0,15.0,12.0,14.0,12.0,11.0,,1.0,,1.0,20.0,15.0,13.0,24.0,4.0,,,,,7.0,3.0,6.0,1.0,,,,,,1.0,
2017-10-15,,,,,2.0,,,,5.0,3.0,,4.0,5.0,,1.0,1.0,8.0,4.0,4.0,3.0,2.0,,1.0,12.0,9.0,16.0,14.0,5.0,,,,4.0,24.0,11.0,17.0,21.0,4.0,,,1.0,4.0,6.0,5.0,8.0,1.0,,,,,3.0,,
