OCCURRED_ON_DATE,0_2,0_3,0_4,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_12,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_6,6_7,6_8,6_9,7_9,8_7
2015-07-03,,,1.0,4.0,3.0,,1.0,,2.0,1.0,1.0,1.0,8.0,,1.0,2.0,6.0,2.0,2.0,2.0,,,2.0,4.0,11.0,22.0,15.0,14.0,,,,10.0,33.0,21.0,10.0,23.0,3.0,2.0,,,2.0,10.0,2.0,8.0,3.0,,1.0,,1.0,2.0,1.0,
2015-07-04,,1.0,,,,,,1.0,5.0,1.0,1.0,,5.0,,,7.0,3.0,,1.0,9.0,2.0,,1.0,8.0,7.0,19.0,10.0,17.0,,,,8.0,25.0,16.0,22.0,26.0,2.0,,,1.0,,3.0,2.0,11.0,,,,,,3.0,,
2015-07-05,,1.0,,,1.0,,1.0,5.0,6.0,,,1.0,6.0,,,1.0,8.0,2.0,1.0,,,,5.0,12.0,4.0,26.0,17.0,13.0,,,,10.0,18.0,15.0,13.0,13.0,6.0,1.0,1.0,1.0,2.0,6.0,2.0,11.0,1.0,,,,,1.0,,
2015-07-06,2.0,1.0,,1.0,1.0,,2.0,2.0,1.0,,,1.0,7.0,,,7.0,3.0,,6.0,1.0,1.0,,4.0,21.0,12.0,20.0,15.0,8.0,,1.0,,6.0,22.0,32.0,17.0,21.0,12.0,,,5.0,1.0,5.0,2.0,9.0,,,,,,,,
2015-07-07,,2.0,,1.0,2.0,,3.0,,2.0,,,1.0,14.0,,,4.0,3.0,3.0,3.0,3.0,2.0,,2.0,11.0,8.0,23.0,15.0,5.0,,,,2.0,28.0,22.0,22.0,20.0,6.0,,3.0,,4.0,6.0,2.0,8.0,,,,,,1.0,1.0,
2015-07-08,,2.0,,,,,2.0,2.0,2.0,,,2.0,5.0,,,11.0,3.0,3.0,3.0,1.0,,,3.0,12.0,5.0,17.0,25.0,9.0,,,,6.0,16.0,14.0,24.0,35.0,5.0,,1.0,,,10.0,3.0,7.0,,,,,,2.0,1.0,
2015-07-09,1.0,,,,2.0,,1.0,,2.0,1.0,,1.0,7.0,,2.0,4.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,8.0,6.0,11.0,11.0,11.0,,,,8.0,23.0,11.0,22.0,28.0,,2.0,2.0,1.0,,3.0,2.0,6.0,1.0,,,,1.0,4.0,,
2015-07-10,1.0,,,1.0,1.0,,4.0,2.0,3.0,,,2.0,14.0,,2.0,3.0,5.0,3.0,1.0,5.0,2.0,,3.0,10.0,9.0,30.0,29.0,13.0,,,,7.0,28.0,14.0,20.0,20.0,5.0,2.0,2.0,,3.0,4.0,4.0,7.0,,,,,,2.0,,
2015-07-11,,3.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,2.0,1.0,6.0,5.0,,1.0,2.0,8.0,6.0,27.0,9.0,12.0,,,,14.0,13.0,17.0,20.0,22.0,3.0,2.0,,2.0,3.0,8.0,2.0,10.0,,,,,2.0,2.0,1.0,
2015-07-12,3.0,,,,2.0,,1.0,1.0,9.0,1.0,,3.0,7.0,,3.0,2.0,3.0,2.0,1.0,1.0,1.0,,,15.0,17.0,9.0,19.0,12.0,,1.0,,7.0,20.0,22.0,10.0,16.0,3.0,4.0,,,,8.0,,7.0,,,1.0,,3.0,2.0,,
2015-07-13,1.0,2.0,,2.0,2.0,,,,2.0,,,3.0,5.0,,1.0,8.0,6.0,3.0,3.0,4.0,1.0,,3.0,13.0,14.0,19.0,28.0,8.0,,,,8.0,20.0,16.0,17.0,29.0,3.0,1.0,3.0,,,3.0,2.0,6.0,,,1.0,,2.0,1.0,,
2015-07-14,1.0,,,,1.0,,1.0,3.0,3.0,3.0,,3.0,6.0,1.0,5.0,4.0,11.0,1.0,5.0,4.0,2.0,,9.0,17.0,10.0,15.0,16.0,10.0,,,,7.0,14.0,12.0,16.0,30.0,3.0,1.0,1.0,,1.0,9.0,2.0,7.0,,,1.0,,1.0,3.0,1.0,
2015-07-15,,1.0,,,,,4.0,1.0,6.0,1.0,,1.0,7.0,,2.0,4.0,5.0,4.0,7.0,4.0,3.0,,,12.0,12.0,16.0,18.0,6.0,,,,8.0,14.0,8.0,35.0,22.0,6.0,3.0,,2.0,4.0,12.0,4.0,19.0,,,,,1.0,,,
